timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
72,488=3,976=0,092=0,000=0,000=0,000=0,999=0,039
72,558=3,976=0,059=0,000=0,000=0,000=1,000=0,020
72,638=3,976=0,075=0,000=0,000=0,000=1,000=0,019
72,728=3,977=0,085=0,000=0,000=0,000=1,000=0,018
72,808=3,976=0,050=0,000=0,000=0,000=1,000=0,024
72,888=3,976=0,066=0,000=0,000=0,000=1,000=0,022
72,978=3,977=0,078=0,000=0,000=0,000=1,000=0,020
73,058=4,067=0,222=0,000=-0,000=0,000=0,998=-0,059
73,228=4,197=0,488=0,000=-0,000=0,000=0,993=-0,114
73,318=4,197=0,488=0,000=-0,000=0,000=0,993=-0,114
73,478=4,223=0,250=0,000=-0,000=0,000=0,999=-0,041
73,618=4,469=0,669=0,000=-0,000=0,000=0,992=-0,124
73,678=4,469=0,669=0,000=-0,000=0,000=0,992=-0,124
73,728=4,469=0,669=0,000=-0,000=0,000=0,992=-0,124
73,878=4,469=0,669=0,000=-0,000=0,000=0,992=-0,124
73,958=4,548=0,800=0,000=-0,000=0,000=0,986=-0,164
74,038=4,548=0,800=0,000=-0,000=0,000=0,986=-0,164
74,128=4,567=0,831=0,000=-0,000=0,000=0,991=-0,130
74,208=4,567=0,831=0,000=-0,000=0,000=0,991=-0,130
74,378=4,567=0,831=0,000=-0,000=0,000=0,991=-0,130
74,468=4,567=0,831=0,000=-0,000=0,000=0,991=-0,130
74,558=4,607=0,898=0,000=-0,000=0,000=0,994=-0,112
74,648=4,611=0,905=0,000=-0,000=0,000=0,993=-0,114
74,728=4,614=0,910=0,000=-0,000=0,000=0,993=-0,117
74,808=4,617=0,915=0,000=-0,000=0,000=0,993=-0,120
74,898=4,620=0,920=0,000=-0,000=0,000=0,992=-0,122
74,968=4,623=0,926=0,000=-0,000=0,000=0,992=-0,125
75,128=4,564=0,785=0,000=-0,000=0,000=0,992=-0,127
75,188=4,564=0,785=0,000=-0,000=0,000=0,992=-0,127
75,248=4,463=0,473=0,000=-0,000=0,000=0,992=-0,130
75,368=4,498=0,560=0,000=-0,000=0,000=0,994=-0,109
75,438=4,498=0,560=0,000=-0,000=0,000=0,994=-0,109
75,518=4,498=0,560=0,000=-0,000=0,000=0,994=-0,109
75,678=4,453=0,439=0,000=-0,000=0,000=0,994=-0,109
75,768=4,453=0,439=0,000=-0,000=0,000=0,994=-0,109
75,858=4,657=0,881=0,000=-0,000=0,000=0,990=-0,139
75,948=4,657=0,881=0,000=-0,000=0,000=0,990=-0,139
76,038=4,657=0,881=0,000=-0,000=0,000=0,990=-0,139
76,128=4,543=0,621=0,000=-0,000=0,000=0,990=-0,139
76,208=4,543=0,621=0,000=-0,000=0,000=0,990=-0,139
76,298=4,654=0,810=0,000=-0,000=0,000=0,993=-0,117
76,378=4,654=0,810=0,000=-0,000=0,000=0,993=-0,117
76,468=4,654=0,810=0,000=-0,000=0,000=0,993=-0,117
76,628=4,559=0,547=0,000=-0,000=0,000=0,993=-0,117
76,718=4,552=0,516=0,000=-0,000=0,000=0,996=-0,089
76,888=4,552=0,516=0,000=-0,000=0,000=0,996=-0,089
76,978=4,539=0,475=0,000=-0,000=0,000=0,994=-0,113
77,068=4,539=0,475=0,000=-0,000=0,000=0,994=-0,113
77,158=4,482=0,309=0,000=-0,000=0,000=0,994=-0,113
77,238=4,482=0,309=0,000=-0,000=0,000=0,994=-0,113
77,328=4,482=0,309=0,000=-0,000=0,000=0,994=-0,113
77,418=4,535=0,434=0,000=-0,000=0,000=0,994=-0,113
77,588=4,531=0,253=0,000=-0,000=0,000=0,998=-0,066
77,678=4,531=0,253=0,000=-0,000=0,000=0,998=-0,066
77,768=4,531=0,253=0,000=-0,000=0,000=0,998=-0,066
77,858=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
77,938=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
78,028=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
78,118=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
78,278=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
78,368=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
78,458=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
78,538=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
78,628=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
78,708=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
78,798=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
78,878=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
78,968=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
79,138=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
79,228=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
79,308=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
79,488=4,537=0,169=0,000=-0,000=0,000=1,000=-0,026
79,578=4,629=0,398=0,000=-0,000=0,000=0,998=-0,068
79,668=4,732=0,569=0,000=-0,000=0,000=0,998=-0,068
79,758=4,730=0,288=0,000=-0,000=0,000=1,000=-0,025
79,848=4,730=0,288=0,000=-0,000=0,000=1,000=-0,025
79,928=4,831=0,471=0,000=-0,000=0,000=0,995=-0,096
80,018=4,831=0,471=0,000=-0,000=0,000=0,995=-0,096
80,108=4,831=0,471=0,000=-0,000=0,000=0,995=-0,096
80,288=4,996=0,739=0,000=-0,000=0,000=0,988=-0,156
80,378=4,991=0,726=0,000=-0,000=0,000=0,984=-0,177
80,478=4,991=0,726=0,000=-0,000=0,000=0,984=-0,177
80,568=4,991=0,726=0,000=-0,000=0,000=0,984=-0,177
80,658=5,030=0,794=0,000=-0,000=0,000=0,980=-0,198
80,738=5,030=0,794=0,000=-0,000=0,000=0,980=-0,198
80,828=5,030=0,794=0,000=-0,000=0,000=0,980=-0,198
80,918=5,030=0,794=0,000=-0,000=0,000=0,980=-0,198
81,078=5,007=0,743=0,000=-0,000=0,000=0,980=-0,198
81,218=5,007=0,743=0,000=-0,000=0,000=0,980=-0,198
81,288=5,007=0,743=0,000=-0,000=0,000=0,980=-0,198
81,358=5,007=0,743=0,000=-0,000=0,000=0,980=-0,198
81,428=4,975=0,702=0,000=-0,000=0,000=0,980=-0,198
81,488=4,975=0,702=0,000=-0,000=0,000=0,980=-0,198
81,538=4,981=0,712=0,000=-0,000=0,000=0,981=-0,192
81,608=4,981=0,712=0,000=-0,000=0,000=0,981=-0,192
81,668=4,981=0,712=0,000=-0,000=0,000=0,981=-0,192
81,708=5,008=0,750=0,000=-0,000=0,000=0,988=-0,157
81,758=5,023=0,756=0,000=-0,000=0,000=0,994=-0,110
81,868=5,023=0,756=0,000=-0,000=0,000=0,994=-0,110
81,928=5,017=0,721=0,000=-0,000=0,000=0,988=-0,154
81,968=5,017=0,721=0,000=-0,000=0,000=0,988=-0,154
82,028=5,017=0,721=0,000=-0,000=0,000=0,988=-0,154
82,098=5,017=0,721=0,000=-0,000=0,000=0,988=-0,154
82,208=4,994=0,680=0,000=-0,000=0,000=0,988=-0,157
82,278=4,962=0,598=0,000=-0,000=0,000=0,990=-0,141
82,358=4,892=0,338=0,000=-0,000=0,000=0,996=-0,085
82,438=4,842=0,300=0,000=-0,000=0,000=0,996=-0,085
82,518=4,842=0,300=0,000=-0,000=0,000=0,996=-0,085
82,608=4,842=0,300=0,000=-0,000=0,000=0,996=-0,085
82,678=4,842=0,300=0,000=-0,000=0,000=0,996=-0,085
82,758=4,842=0,300=0,000=-0,000=0,000=0,996=-0,085
82,838=4,954=0,545=0,000=-0,000=0,000=0,995=-0,103
82,908=4,981=0,607=0,000=-0,000=0,000=0,995=-0,102
82,988=4,893=0,309=0,000=-0,000=0,000=0,997=-0,071
83,068=4,893=0,309=0,000=-0,000=0,000=0,997=-0,071
83,238=4,890=0,309=0,000=-0,000=0,000=0,997=-0,078
83,328=4,887=0,309=0,000=-0,000=0,000=0,996=-0,085
83,408=4,884=0,310=0,000=0,000=0,000=-0,996=0,092
83,488=4,880=0,310=0,000=0,000=0,000=-0,995=0,098
83,578=4,877=0,310=0,000=0,000=0,000=-0,994=0,106
83,668=4,874=0,310=0,000=0,000=0,000=-0,993=0,115
83,838=4,868=0,310=0,000=0,000=0,000=-0,991=0,131
83,928=4,949=0,431=0,000=0,000=0,000=-0,982=0,190
84,008=4,961=0,457=0,000=0,000=0,000=-0,974=0,226
84,088=4,959=0,457=0,000=0,000=0,000=-0,972=0,236
84,168=4,957=0,457=0,000=0,000=0,000=-0,968=0,250
84,338=4,956=0,457=0,000=0,000=0,000=-0,958=0,285
84,418=4,956=0,457=0,000=0,000=0,000=-0,952=0,305
84,498=5,037=0,646=0,000=0,000=0,000=-0,946=0,324
84,578=5,037=0,646=0,000=0,000=0,000=-0,940=0,342
84,658=5,037=0,646=0,000=0,000=0,000=-0,933=0,361
84,738=5,037=0,647=0,000=0,000=0,000=-0,925=0,380
84,818=5,036=0,647=0,000=0,000=0,000=-0,917=0,398
84,988=4,945=0,411=0,000=0,000=0,000=-0,906=0,423
85,068=4,945=0,411=0,000=0,000=0,000=-0,897=0,441
85,148=4,922=0,360=0,000=0,000=0,000=-0,891=0,453
85,228=4,921=0,359=0,000=0,000=0,000=-0,882=0,471
85,308=4,921=0,359=0,000=0,000=0,000=-0,872=0,489
85,398=4,921=0,359=0,000=0,000=0,000=-0,861=0,508
85,478=4,921=0,359=0,000=0,000=0,000=-0,851=0,525
85,568=4,985=0,489=0,000=0,000=0,000=-0,839=0,544
85,658=4,985=0,489=0,000=0,000=0,000=-0,826=0,563
85,738=4,984=0,489=0,000=0,000=0,000=-0,815=0,579
85,828=4,984=0,489=0,000=0,000=0,000=-0,802=0,598
85,908=4,984=0,489=0,000=0,000=0,000=-0,790=0,614
