timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
82,356=4,089=0,738=0,000=-0,000=0,000=0,983=-0,183
82,416=4,089=0,737=0,000=-0,000=0,000=0,983=-0,182
82,476=4,089=0,737=0,000=-0,000=0,000=0,983=-0,183
82,636=4,089=0,737=0,000=-0,000=0,000=0,983=-0,183
82,696=4,209=0,933=0,000=-0,000=0,000=0,980=-0,200
82,736=4,203=0,918=0,000=-0,000=0,000=0,980=-0,201
82,916=4,197=0,905=0,000=-0,000=0,000=0,979=-0,202
82,956=4,192=0,893=0,000=-0,000=0,000=0,979=-0,202
83,006=4,188=0,882=0,000=-0,000=0,000=0,979=-0,202
83,086=4,184=0,873=0,000=-0,000=0,000=0,980=-0,201
83,116=4,180=0,865=0,000=-0,000=0,000=0,980=-0,201
83,156=4,177=0,857=0,000=-0,000=0,000=0,980=-0,201
83,206=4,230=0,949=0,000=-0,000=0,000=0,982=-0,189
83,286=4,222=0,930=0,000=-0,000=0,000=0,981=-0,193
83,326=4,216=0,915=0,000=-0,000=0,000=0,981=-0,196
83,366=4,211=0,903=0,000=-0,000=0,000=0,980=-0,197
83,426=4,207=0,892=0,000=-0,000=0,000=0,980=-0,198
83,476=4,207=0,894=0,000=-0,000=0,000=0,981=-0,196
83,516=4,203=0,884=0,000=-0,000=0,000=0,980=-0,197
83,566=4,200=0,875=0,000=-0,000=0,000=0,980=-0,197
83,606=4,197=0,868=0,000=-0,000=0,000=0,980=-0,197
83,696=4,194=0,862=0,000=-0,000=0,000=0,980=-0,197
83,746=4,192=0,856=0,000=-0,000=0,000=0,981=-0,197
83,826=4,189=0,851=0,000=-0,000=0,000=0,981=-0,196
83,856=4,187=0,846=0,000=-0,000=0,000=0,981=-0,195
83,906=4,186=0,842=0,000=-0,000=0,000=0,981=-0,195
83,946=4,185=0,839=0,000=-0,000=0,000=0,981=-0,195
84,016=4,209=0,895=0,000=-0,000=0,000=0,980=-0,200
84,066=4,205=0,886=0,000=-0,000=0,000=0,980=-0,200
84,136=4,201=0,878=0,000=-0,000=0,000=0,980=-0,199
84,276=4,196=0,865=0,000=-0,000=0,000=0,981=-0,195
84,326=4,194=0,859=0,000=-0,000=0,000=0,981=-0,195
84,476=4,212=0,903=0,000=-0,000=0,000=0,981=-0,193
84,506=4,208=0,892=0,000=-0,000=0,000=0,981=-0,195
84,566=4,204=0,883=0,000=-0,000=0,000=0,981=-0,196
84,626=4,200=0,875=0,000=-0,000=0,000=0,980=-0,197
84,676=4,198=0,868=0,000=-0,000=0,000=0,980=-0,197
84,836=4,195=0,861=0,000=-0,000=0,000=0,980=-0,197
84,896=4,192=0,855=0,000=-0,000=0,000=0,981=-0,196
84,956=4,190=0,850=0,000=-0,000=0,000=0,981=-0,196
85,016=4,188=0,846=0,000=-0,000=0,000=0,981=-0,195
85,136=4,187=0,842=0,000=-0,000=0,000=0,981=-0,195
85,186=4,185=0,838=0,000=-0,000=0,000=0,981=-0,194
85,256=4,184=0,835=0,000=-0,000=0,000=0,981=-0,194
85,316=4,182=0,832=0,000=-0,000=0,000=0,981=-0,193
85,436=4,181=0,829=0,000=-0,000=0,000=0,981=-0,193
85,556=4,180=0,827=0,000=-0,000=0,000=0,981=-0,193
85,646=4,179=0,825=0,000=-0,000=0,000=0,981=-0,193
85,756=4,179=0,823=0,000=-0,000=0,000=0,981=-0,193
85,806=4,236=0,937=0,000=-0,000=0,000=0,978=-0,207
85,866=4,265=0,987=0,000=-0,000=0,000=0,981=-0,194
85,916=4,258=0,968=0,000=-0,000=0,000=0,980=-0,198
86,036=4,252=0,955=0,000=-0,000=0,000=0,980=-0,201
86,156=4,247=0,943=0,000=-0,000=0,000=0,979=-0,202
86,226=4,243=0,932=0,000=-0,000=0,000=0,979=-0,202
86,346=4,239=0,923=0,000=-0,000=0,000=0,979=-0,202
86,406=4,235=0,913=0,000=-0,000=0,000=0,979=-0,202
86,466=4,231=0,905=0,000=-0,000=0,000=0,980=-0,201
86,596=4,274=0,985=0,000=-0,000=0,000=0,980=-0,201
86,656=4,269=0,972=0,000=-0,000=0,000=0,979=-0,203
86,716=4,265=0,962=0,000=-0,000=0,000=0,979=-0,204
86,776=4,260=0,952=0,000=-0,000=0,000=0,979=-0,204
86,886=4,256=0,942=0,000=-0,000=0,000=0,979=-0,204
86,946=4,284=0,993=0,000=-0,000=0,000=0,980=-0,200
87,006=4,312=1,043=0,000=-0,000=0,000=0,980=-0,197
87,056=4,325=1,067=0,000=-0,000=0,000=0,979=-0,202
87,106=4,272=0,928=0,000=-0,000=0,000=0,985=-0,174
87,166=4,267=0,915=0,000=-0,000=0,000=0,983=-0,181
87,226=4,264=0,907=0,000=-0,000=0,000=0,983=-0,186
87,526=4,262=0,902=0,000=-0,000=0,000=0,982=-0,189
87,556=4,260=0,898=0,000=-0,000=0,000=0,981=-0,192
87,606=4,259=0,895=0,000=-0,000=0,000=0,981=-0,194
87,646=4,258=0,892=0,000=-0,000=0,000=0,981=-0,195
87,686=4,323=1,011=0,000=-0,000=0,000=0,980=-0,200
87,786=4,320=1,004=0,000=-0,000=0,000=0,979=-0,203
87,816=4,317=0,999=0,000=-0,000=0,000=0,979=-0,205
87,856=4,316=0,995=0,000=-0,000=0,000=0,979=-0,206
87,886=4,314=0,992=0,000=-0,000=0,000=0,978=-0,207
87,926=4,313=0,989=0,000=-0,000=0,000=0,978=-0,207
87,956=4,312=0,987=0,000=-0,000=0,000=0,978=-0,207
88,006=4,311=0,984=0,000=-0,000=0,000=0,978=-0,207
88,056=4,310=0,982=0,000=-0,000=0,000=0,978=-0,206
88,106=4,309=0,980=0,000=-0,000=0,000=0,979=-0,206
88,136=4,308=0,978=0,000=-0,000=0,000=0,978=-0,206
88,166=4,307=0,976=0,000=-0,000=0,000=0,978=-0,206
88,206=4,307=0,975=0,000=-0,000=0,000=0,979=-0,206
88,236=4,313=0,988=0,000=-0,000=0,000=0,978=-0,208
88,266=4,312=0,986=0,000=-0,000=0,000=0,978=-0,207
88,286=4,311=0,984=0,000=-0,000=0,000=0,978=-0,207
88,326=4,310=0,982=0,000=-0,000=0,000=0,978=-0,207
88,346=4,309=0,980=0,000=-0,000=0,000=0,978=-0,207
88,406=4,309=0,979=0,000=-0,000=0,000=0,978=-0,207
88,436=4,308=0,977=0,000=-0,000=0,000=0,978=-0,206
88,466=4,307=0,976=0,000=-0,000=0,000=0,979=-0,206
88,486=4,321=1,001=0,000=-0,000=0,000=0,979=-0,203
88,556=4,319=0,997=0,000=-0,000=0,000=0,979=-0,205
88,586=4,318=0,994=0,000=-0,000=0,000=0,979=-0,206
88,616=4,317=0,992=0,000=-0,000=0,000=0,978=-0,206
88,656=4,326=1,008=0,000=-0,000=0,000=0,980=-0,197
88,686=4,323=1,001=0,000=-0,000=0,000=0,980=-0,201
88,716=4,321=0,996=0,000=-0,000=0,000=0,979=-0,203
88,736=4,319=0,993=0,000=-0,000=0,000=0,979=-0,205
88,756=4,318=0,990=0,000=-0,000=0,000=0,978=-0,207
88,786=4,316=0,989=0,000=-0,000=0,000=0,978=-0,209
88,816=4,314=0,988=0,000=-0,000=0,000=0,977=-0,213
88,856=4,313=0,987=0,000=-0,000=0,000=0,976=-0,216
88,886=4,311=0,986=0,000=-0,000=0,000=0,976=-0,217
88,926=4,310=0,985=0,000=-0,000=0,000=0,975=-0,221
88,946=4,308=0,985=0,000=-0,000=0,000=0,975=-0,221
88,966=4,308=0,984=0,000=-0,000=0,000=0,975=-0,224
88,996=4,306=0,983=0,000=-0,000=0,000=0,974=-0,225
89,066=4,329=1,027=0,000=0,000=0,000=-0,972=0,233
89,096=4,324=1,018=0,000=0,000=0,000=-0,972=0,235
89,156=4,319=1,011=0,000=0,000=0,000=-0,971=0,241
89,186=4,315=1,005=0,000=0,000=0,000=-0,970=0,242
89,266=4,310=1,000=0,000=0,000=0,000=-0,968=0,250
89,306=4,306=0,995=0,000=0,000=0,000=-0,967=0,255
89,346=4,303=0,991=0,000=0,000=0,000=-0,967=0,256
