timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
81,086=4,408=0,940=0,000=-0,000=0,000=0,974=-0,226
81,136=4,407=0,939=0,000=-0,000=0,000=0,974=-0,225
81,186=4,407=0,939=0,000=-0,000=0,000=0,974=-0,225
81,226=4,407=0,939=0,000=-0,000=0,000=0,974=-0,225
81,266=4,407=0,939=0,000=-0,000=0,000=0,975=-0,222
81,296=4,407=0,938=0,000=-0,000=0,000=0,975=-0,223
81,376=4,406=0,937=0,000=-0,000=0,000=0,975=-0,224
81,426=4,406=0,937=0,000=-0,000=0,000=0,975=-0,224
81,476=4,406=0,936=0,000=-0,000=0,000=0,975=-0,224
81,516=4,405=0,936=0,000=-0,000=0,000=0,974=-0,224
81,566=4,405=0,936=0,000=-0,000=0,000=0,974=-0,224
81,606=4,406=0,937=0,000=-0,000=0,000=0,974=-0,225
81,656=4,406=0,938=0,000=-0,000=0,000=0,974=-0,225
81,716=4,406=0,937=0,000=-0,000=0,000=0,974=-0,225
81,756=4,406=0,937=0,000=-0,000=0,000=0,974=-0,225
81,856=4,406=0,937=0,000=-0,000=0,000=0,974=-0,225
81,916=4,406=0,937=0,000=-0,000=0,000=0,974=-0,225
81,986=4,406=0,938=0,000=-0,000=0,000=0,974=-0,225
82,026=4,406=0,938=0,000=-0,000=0,000=0,974=-0,225
82,086=4,406=0,938=0,000=-0,000=0,000=0,974=-0,225
82,136=4,406=0,937=0,000=-0,000=0,000=0,974=-0,225
82,186=4,406=0,938=0,000=-0,000=0,000=0,974=-0,225
82,246=4,407=0,938=0,000=-0,000=0,000=0,974=-0,225
82,346=4,407=0,938=0,000=-0,000=0,000=0,974=-0,225
82,466=4,407=0,938=0,000=-0,000=0,000=0,974=-0,225
82,526=4,423=0,965=0,000=-0,000=0,000=0,976=-0,217
82,666=4,419=0,958=0,000=-0,000=0,000=0,975=-0,220
82,716=4,417=0,954=0,000=-0,000=0,000=0,975=-0,223
82,756=4,415=0,949=0,000=0,000=0,000=-0,973=0,229
82,806=4,414=0,949=0,000=0,000=0,000=-0,971=0,237
82,866=4,412=0,944=0,000=0,000=0,000=-0,967=0,253
82,936=4,410=0,940=0,000=0,000=0,000=-0,963=0,271
83,106=4,405=0,932=0,000=0,000=0,000=-0,950=0,312
83,166=4,402=0,926=0,000=0,000=0,000=-0,945=0,327
83,236=4,398=0,918=0,000=0,000=0,000=-0,940=0,342
83,306=4,418=0,899=0,000=0,000=0,000=-0,934=0,358
83,496=4,432=0,889=0,000=0,000=0,000=-0,916=0,400
83,566=4,441=0,883=0,000=0,000=0,000=-0,910=0,415
83,636=4,449=0,882=0,000=0,000=0,000=-0,903=0,429
83,696=4,454=0,881=0,000=0,000=0,000=-0,897=0,442
83,806=4,459=0,880=0,000=0,000=0,000=-0,886=0,464
83,876=4,465=0,877=0,000=0,000=0,000=-0,879=0,477
83,946=4,467=0,876=0,000=0,000=0,000=-0,871=0,491
84,056=4,468=0,874=0,000=0,000=0,000=-0,858=0,514
84,126=4,469=0,873=0,000=0,000=0,000=-0,849=0,529
84,266=4,468=0,869=0,000=0,000=0,000=-0,831=0,557
84,336=4,467=0,867=0,000=0,000=0,000=-0,821=0,571
84,466=4,465=0,863=0,000=0,000=0,000=-0,803=0,596
84,616=4,424=0,767=0,000=0,000=0,000=-0,794=0,608
84,666=4,445=0,762=0,000=0,000=0,000=-0,798=0,603
84,736=4,443=0,753=0,000=0,000=0,000=-0,790=0,613
84,876=4,439=0,740=0,000=0,000=0,000=-0,772=0,635
84,946=4,436=0,727=0,000=0,000=0,000=-0,766=0,643
85,016=4,431=0,712=0,000=0,000=0,000=-0,759=0,651
85,076=4,424=0,696=0,000=0,000=0,000=-0,755=0,656
85,216=4,416=0,679=0,000=0,000=0,000=-0,738=0,674
85,286=4,392=0,648=0,000=0,000=0,000=-0,726=0,687
85,346=4,349=0,575=0,000=0,000=0,000=-0,716=0,698
85,416=4,295=0,460=0,000=0,000=0,000=-0,704=0,710
85,546=4,216=0,285=0,000=0,000=0,000=-0,680=0,733
85,616=4,219=0,293=0,000=0,000=0,000=-0,667=0,745
85,696=4,213=0,280=0,000=0,000=0,000=-0,653=0,757
85,766=4,219=0,289=0,000=0,000=0,000=-0,643=0,766
85,836=4,120=0,073=0,000=0,000=0,000=-0,633=0,774
85,916=4,111=0,052=0,000=0,000=0,000=-0,624=0,782
85,986=4,109=0,048=0,000=0,000=0,000=-0,615=0,788
86,056=4,160=0,233=0,000=0,000=0,000=-0,588=0,809
86,116=4,175=0,264=0,000=0,000=0,000=-0,588=0,809
86,196=4,181=0,272=0,000=0,000=0,000=-0,588=0,809
86,256=4,171=0,343=0,000=0,000=0,000=-0,604=0,797
86,386=4,108=0,205=0,000=0,000=0,000=-0,604=0,797
86,456=4,117=0,225=0,000=0,000=0,000=-0,606=0,795
86,596=4,085=0,154=0,000=0,000=0,000=-0,618=0,786
86,666=4,093=0,166=0,000=0,000=0,000=-0,628=0,778
86,716=4,147=0,222=0,000=0,000=0,000=-0,636=0,772
