timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
83,586=-2,717=-0,900=0,000=0,000=0,000=0,174=0,985
83,626=-2,717=-0,901=0,000=0,000=0,000=0,182=0,983
83,676=-2,717=-0,902=0,000=0,000=0,000=0,187=0,982
83,726=-2,717=-0,903=0,000=0,000=0,000=0,192=0,981
83,936=-2,717=-0,905=0,000=0,000=0,000=0,195=0,981
83,996=-2,718=-0,906=0,000=0,000=0,000=0,197=0,980
84,036=-2,718=-0,907=0,000=0,000=0,000=0,198=0,980
84,086=-2,718=-0,907=0,000=0,000=0,000=0,198=0,980
84,126=-2,718=-0,907=0,000=0,000=0,000=0,198=0,980
84,166=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
84,206=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
84,246=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
84,296=-2,718=-0,908=0,000=0,000=0,000=0,199=0,980
84,386=-2,718=-0,908=0,000=0,000=0,000=0,199=0,980
84,426=-2,718=-0,908=0,000=0,000=0,000=0,199=0,980
84,456=-2,718=-0,908=0,000=0,000=0,000=0,199=0,980
84,526=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
84,566=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
84,616=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
84,666=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
84,716=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
84,776=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
84,836=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
84,896=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
84,966=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,026=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,086=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,146=-2,718=-0,908=0,000=0,000=0,000=0,199=0,980
85,206=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,266=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,326=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,396=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,456=-2,718=-0,908=0,000=0,000=0,000=0,199=0,980
85,516=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,576=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,686=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,726=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,776=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,836=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,896=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
85,966=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
86,026=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
86,156=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
86,216=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
86,276=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
86,346=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
86,416=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
86,476=-2,718=-0,908=0,000=0,000=0,000=0,199=0,980
86,596=-2,718=-0,908=0,000=0,000=0,000=0,199=0,980
86,656=-2,718=-0,908=0,000=0,000=0,000=0,199=0,980
86,716=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
86,856=-2,718=-0,913=0,000=0,000=0,000=0,199=0,980
86,906=-2,718=-0,910=0,000=0,000=0,000=0,199=0,980
86,956=-2,718=-0,909=0,000=0,000=0,000=0,199=0,980
87,016=-2,718=-0,908=0,000=0,000=0,000=0,199=0,980
87,076=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
87,196=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
87,266=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
87,316=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
87,386=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
87,446=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
87,506=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
87,566=-2,718=-0,907=0,000=0,000=0,000=0,199=0,980
87,636=-2,892=-0,925=0,000=0,000=0,000=0,193=0,981
87,696=-2,894=-0,928=0,000=0,000=0,000=0,196=0,981
87,756=-2,894=-0,929=0,000=0,000=0,000=0,197=0,980
87,816=-2,895=-0,930=0,000=0,000=0,000=0,198=0,980
87,866=-2,895=-0,931=0,000=0,000=0,000=0,198=0,980
87,926=-2,895=-0,931=0,000=0,000=0,000=0,198=0,980
88,026=-2,895=-0,932=0,000=0,000=0,000=0,198=0,980
88,066=-2,895=-0,932=0,000=0,000=0,000=0,198=0,980
88,096=-2,895=-0,932=0,000=0,000=0,000=0,198=0,980
88,146=-2,895=-0,931=0,000=0,000=0,000=0,198=0,980
88,186=-2,895=-0,932=0,000=0,000=0,000=0,198=0,980
88,226=-2,896=-0,931=0,000=0,000=0,000=0,198=0,980
88,266=-2,895=-0,932=0,000=0,000=0,000=0,198=0,980
88,296=-2,895=-0,932=0,000=0,000=0,000=0,198=0,980
88,366=-2,896=-0,931=0,000=0,000=0,000=0,198=0,980
88,406=-2,895=-0,931=0,000=0,000=0,000=0,198=0,980
88,446=-2,894=-0,931=0,000=0,000=0,000=0,198=0,980
88,486=-2,895=-0,931=0,000=0,000=0,000=0,198=0,980
88,526=-2,895=-0,931=0,000=0,000=0,000=0,198=0,980
88,546=-2,894=-0,931=0,000=0,000=0,000=0,198=0,980
88,596=-2,896=-0,931=0,000=0,000=0,000=0,198=0,980
88,646=-2,896=-0,932=0,000=0,000=0,000=0,198=0,980
88,686=-2,896=-0,932=0,000=0,000=0,000=0,198=0,980
88,726=-2,896=-0,931=0,000=0,000=0,000=0,198=0,980
88,746=-2,896=-0,931=0,000=0,000=0,000=0,198=0,980
88,786=-2,896=-0,932=0,000=0,000=0,000=0,198=0,980
88,806=-2,896=-0,931=0,000=0,000=0,000=0,198=0,980
88,836=-2,896=-0,931=0,000=0,000=0,000=0,198=0,980
88,866=-2,895=-0,931=0,000=0,000=0,000=0,198=0,980
88,936=-2,896=-0,931=0,000=0,000=0,000=0,198=0,980
88,966=-2,895=-0,932=0,000=0,000=0,000=0,198=0,980
89,016=-2,894=-0,931=0,000=0,000=0,000=0,198=0,980
89,026=-2,895=-0,932=0,000=0,000=0,000=0,198=0,980
89,056=-2,895=-0,931=0,000=0,000=0,000=0,198=0,980
89,086=-2,895=-0,931=0,000=0,000=0,000=0,198=0,980
89,156=-2,896=-0,931=0,000=0,000=0,000=0,198=0,980
89,186=-2,896=-0,931=0,000=0,000=0,000=0,198=0,980
89,216=-2,895=-0,931=0,000=0,000=0,000=0,198=0,980
89,266=-2,895=-0,931=0,000=0,000=0,000=0,198=0,980
89,286=-2,895=-0,932=0,000=0,000=0,000=0,198=0,980
89,326=-2,895=-0,931=0,000=0,000=0,000=0,198=0,980
89,386=-2,895=-0,929=0,000=0,000=0,000=0,200=0,980
89,416=-2,893=-0,927=0,000=0,000=0,000=0,203=0,979
89,496=-2,889=-0,917=0,000=0,000=0,000=0,216=0,976
89,526=-2,887=-0,913=0,000=0,000=0,000=0,223=0,975
89,566=-2,884=-0,908=0,000=0,000=0,000=0,233=0,972
89,636=-2,877=-0,899=0,000=0,000=0,000=0,252=0,968
89,666=-2,872=-0,895=0,000=0,000=0,000=0,259=0,966
89,706=-2,939=-0,900=0,000=0,000=0,000=0,267=0,964
89,746=-2,961=-0,901=0,000=0,000=0,000=0,275=0,961
89,776=-2,974=-0,900=0,000=0,000=0,000=0,282=0,959
89,816=-2,977=-0,897=0,000=0,000=0,000=0,290=0,957
89,896=-2,968=-0,892=0,000=0,000=0,000=0,304=0,953
89,926=-2,965=-0,890=0,000=0,000=0,000=0,308=0,951
89,966=-2,960=-0,886=0,000=0,000=0,000=0,314=0,949
90,066=-2,942=-0,876=0,000=0,000=0,000=0,328=0,945
90,146=-2,925=-0,866=0,000=0,000=0,000=0,336=0,942
90,176=-2,920=-0,862=0,000=0,000=0,000=0,339=0,941
90,226=-2,912=-0,855=0,000=0,000=0,000=0,343=0,939
90,266=-2,902=-0,849=0,000=0,000=0,000=0,346=0,938
90,336=-2,887=-0,839=0,000=0,000=0,000=0,350=0,937
90,376=-2,878=-0,832=0,000=0,000=0,000=0,352=0,936
90,416=-2,870=-0,824=0,000=0,000=0,000=0,353=0,936
90,456=-2,861=-0,816=0,000=0,000=0,000=0,355=0,935
90,546=-2,841=-0,799=0,000=0,000=0,000=0,356=0,934
90,576=-2,835=-0,794=0,000=0,000=0,000=0,355=0,935
90,616=-2,825=-0,787=0,000=0,000=0,000=0,354=0,935
90,656=-2,813=-0,779=0,000=0,000=0,000=0,352=0,936
90,696=-2,802=-0,772=0,000=0,000=0,000=0,350=0,937
90,746=-2,790=-0,762=0,000=0,000=0,000=0,347=0,938
90,776=-2,782=-0,756=0,000=0,000=0,000=0,346=0,938
90,816=-2,770=-0,748=0,000=0,000=0,000=0,345=0,939
90,896=-2,749=-0,730=0,000=0,000=0,000=0,341=0,940
90,936=-2,739=-0,721=0,000=0,000=0,000=0,338=0,941
90,976=-2,728=-0,712=0,000=0,000=0,000=0,336=0,942
91,026=-2,716=-0,700=0,000=0,000=0,000=0,332=0,943
91,066=-2,705=-0,690=0,000=0,000=0,000=0,329=0,945
91,116=-2,692=-0,677=0,000=0,000=0,000=0,324=0,946
91,156=-2,680=-0,667=0,000=0,000=0,000=0,321=0,947
91,256=-2,655=-0,641=0,000=0,000=0,000=0,313=0,950
91,306=-2,643=-0,628=0,000=0,000=0,000=0,308=0,951
91,356=-2,629=-0,615=0,000=0,000=0,000=0,304=0,953
91,506=-2,589=-0,575=0,000=0,000=0,000=0,294=0,956
91,556=-2,574=-0,561=0,000=0,000=0,000=0,290=0,957
91,606=-2,561=-0,548=0,000=0,000=0,000=0,288=0,958
91,666=-2,544=-0,533=0,000=0,000=0,000=0,284=0,959
91,696=-2,536=-0,525=0,000=0,000=0,000=0,282=0,959
91,816=-2,501=-0,493=0,000=0,000=0,000=0,275=0,961
91,856=-2,426=-0,471=0,000=0,000=0,000=0,272=0,962
91,946=-2,401=-0,449=0,000=0,000=0,000=0,266=0,964
91,986=-2,358=-0,433=0,000=0,000=0,000=0,263=0,965
92,026=-2,330=-0,420=0,000=0,000=0,000=0,260=0,966
92,076=-2,306=-0,405=0,000=0,000=0,000=0,257=0,966
92,216=-2,262=-0,366=0,000=0,000=0,000=0,249=0,968
92,266=-2,244=-0,352=0,000=0,000=0,000=0,247=0,969
92,316=-2,227=-0,339=0,000=0,000=0,000=0,244=0,970
92,366=-2,211=-0,326=0,000=0,000=0,000=0,241=0,971
