timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
427,127=3,481=3,157=0,000=0,000=0,000=0,138=0,990
427,197=3,480=3,158=0,000=0,000=0,000=0,137=0,991
427,267=3,479=3,158=0,000=0,000=0,000=0,136=0,991
427,277=3,479=3,157=0,000=0,000=0,000=0,136=0,991
427,327=3,479=3,158=0,000=0,000=0,000=0,136=0,991
427,537=3,478=3,157=0,000=0,000=0,000=0,135=0,991
427,687=3,478=3,157=0,000=0,000=0,000=0,135=0,991
427,737=3,478=3,157=0,000=0,000=0,000=0,136=0,991
427,797=3,478=3,157=0,000=0,000=0,000=0,136=0,991
427,967=3,479=3,158=0,000=0,000=0,000=0,136=0,991
427,997=3,478=3,158=0,000=0,000=0,000=0,136=0,991
428,057=3,478=3,158=0,000=0,000=0,000=0,135=0,991
428,117=3,478=3,158=0,000=0,000=0,000=0,135=0,991
428,147=3,478=3,158=0,000=0,000=0,000=0,135=0,991
428,177=3,478=3,158=0,000=0,000=0,000=0,135=0,991
428,217=3,478=3,158=0,000=0,000=0,000=0,135=0,991
428,247=3,478=3,157=0,000=0,000=0,000=0,136=0,991
428,287=3,478=3,158=0,000=0,000=0,000=0,136=0,991
428,327=3,478=3,158=0,000=0,000=0,000=0,135=0,991
428,357=3,478=3,158=0,000=0,000=0,000=0,135=0,991
428,397=3,478=3,157=0,000=0,000=0,000=0,135=0,991
428,437=3,478=3,157=0,000=0,000=0,000=0,136=0,991
428,477=3,478=3,157=0,000=0,000=0,000=0,136=0,991
428,527=3,478=3,157=0,000=0,000=0,000=0,136=0,991
428,577=3,477=3,158=0,000=0,000=0,000=0,135=0,991
428,627=3,477=3,158=0,000=0,000=0,000=0,135=0,991
428,667=3,478=3,157=0,000=0,000=0,000=0,135=0,991
428,707=3,478=3,157=0,000=0,000=0,000=0,136=0,991
428,757=3,478=3,157=0,000=0,000=0,000=0,135=0,991
428,827=3,478=3,158=0,000=0,000=0,000=0,135=0,991
428,847=3,478=3,158=0,000=0,000=0,000=0,135=0,991
