timestamp=position_x=position_y=position_z=orientation_x=orientation_y=orientation_z=orientation_w
467,035=-2,802=0,598=0,000=0,000=0,000=-0,994=0,110
467,105=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
467,175=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
467,245=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
467,315=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
467,395=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
467,465=-2,802=0,601=0,000=0,000=0,000=-0,994=0,110
467,615=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
467,685=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
467,745=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
467,815=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
467,895=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
467,965=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
468,035=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
468,105=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
468,175=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
468,255=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
468,325=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
468,395=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
468,465=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
468,535=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
468,605=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
468,675=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
468,815=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
468,955=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
469,025=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
469,145=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
469,215=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
469,275=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
469,445=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
469,505=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
469,575=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
469,705=-2,802=0,598=0,000=0,000=0,000=-0,994=0,111
469,765=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
469,835=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
469,895=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
469,965=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
470,025=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
470,165=-2,802=0,601=0,000=0,000=0,000=-0,994=0,110
470,235=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
470,305=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
470,365=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
470,425=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
470,555=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
470,615=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
470,685=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
470,745=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
470,825=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
471,025=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
471,095=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
471,165=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
471,315=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
471,385=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
471,455=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
471,535=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
471,605=-2,800=0,599=0,000=0,000=0,000=-0,994=0,110
471,685=-2,800=0,598=0,000=0,000=0,000=-0,994=0,110
471,745=-2,800=0,598=0,000=0,000=0,000=-0,994=0,110
471,805=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
471,865=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
471,935=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
472,005=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
472,065=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
472,215=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
472,285=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
472,355=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
472,425=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
472,495=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
472,565=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
472,715=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
472,855=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
472,935=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
473,005=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
473,085=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
473,145=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
473,215=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
473,285=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
473,355=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
473,425=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
473,495=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
473,565=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
473,635=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
473,715=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
473,855=-2,802=0,598=0,000=0,000=0,000=-0,994=0,111
473,925=-2,801=0,598=0,000=0,000=0,000=-0,994=0,111
473,995=-2,801=0,598=0,000=0,000=0,000=-0,994=0,110
474,055=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
474,135=-2,801=0,597=0,000=0,000=0,000=-0,994=0,111
474,195=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
474,265=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
474,415=-2,802=0,599=0,000=0,000=0,000=-0,994=0,110
474,485=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
474,605=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
474,665=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
474,735=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
474,795=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
474,855=-2,802=0,600=0,000=0,000=0,000=-0,994=0,110
474,915=-2,801=0,599=0,000=0,000=0,000=-0,994=0,110
474,985=-2,801=0,600=0,000=0,000=0,000=-0,994=0,110
